from,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,16,2,11,2,0,0,0,0,1,0,0,0,1,2,0,1,0,0,0,1,1,34,0,1,0,0,0,20,0,0,0,11,0,14,2,8,0,19,1,0,1,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,1,2,11,23,3,1,4,0,5,20,5,2,4,75,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,23,0,0,0,1,0,0,1,1,2,5,0,0,0,1,2,0,0,0,0,0,2,0,0,2,0,0,5,6,0,0,0,0,0,6,0,0,2,3,0,0,0,0
47,0,19,2,12,3,0,0,0,0,1,0,0,0,1,3,0,2,0,0,0,1,1,39,0,1,0,0,0,23,0,0,0,12,0,16,2,10,0,22,2,0,1,0,0,0,1,0,2,1,0,0,3,0,0,0,0,0,1,2,12,26,4,1,5,0,6,23,6,3,4,87,0,6,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,2,26,0,0,0,1,0,0,1,2,3,5,0,0,0,1,2,0,0,0,0,0,2,0,0,2,1,0,5,7,0,1,0,0,0,7,0,0,2,3,0,0,0,1
48,0,43,4,28,6,0,0,0,0,3,0,0,0,2,6,0,4,0,1,0,2,2,90,0,3,0,0,0,53,0,0,0,28,0,37,4,22,0,50,4,0,1,1,0,0,1,2,0,1,1,0,7,1,1,0,0,0,2,4,28,60,8,2,11,0,13,52,13,6,10,198,0,13,7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,2,5,60,0,1,0,2,0,0,1,4,6,12,1,0,0,3,5,0,0,1,0,0,4,0,0,6,1,0,12,16,0,1,0,0,0,16,0,0,4,7,1,0,0,1
49,0,14,1,9,2,0,0,0,0,1,0,0,0,1,2,0,1,0,0,0,1,1,30,0,1,0,0,0,18,0,0,0,9,0,12,1,7,0,17,1,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,1,1,9,20,3,1,4,0,4,17,4,2,3,66,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,20,0,0,0,1,0,0,0,1,2,4,0,0,0,1,2,0,0,0,0,0,1,0,0,2,0,0,4,5,0,0,0,0,0,5,0,0,1,2,0,0,0,0
50,0,13,1,8,2,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,1,1,27,0,1,0,0,0,16,0,0,0,8,0,11,1,7,0,15,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,1,8,18,3,1,3,0,4,16,4,2,3,60,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,18,0,0,0,1,0,0,0,1,2,4,0,0,0,1,2,0,0,0,0,0,1,0,0,2,0,0,4,5,0,0,0,0,0,5,0,0,1,2,0,0,0,0
51,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,1,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,1,3,1,0,1,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
52,0,85,8,55,12,0,0,0,0,6,0,0,0,3,12,0,8,0,1,0,4,4,178,1,7,0,0,0,106,0,1,1,55,0,73,9,43,1,100,7,0,3,2,0,0,3,3,7,2,2,0,0,2,1,1,0,0,4,9,55,118,17,3,23,0,25,103,26,12,20,393,0,25,13,3,0,0,1,0,0,0,0,0,0,0,2,0,0,1,1,0,0,7,4,9,118,1,1,0,3,1,0,3,7,12,24,1,0,0,6,10,0,1,2,0,0,8,0,0,11,2,0,24,31,1,3,1,0,0,32,0,0,8,14,2,0,0,3
53,0,12,1,8,2,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,24,0,1,0,0,0,14,0,0,0,8,0,10,1,6,0,14,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,1,8,16,2,0,3,0,3,14,4,2,3,54,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,16,0,0,0,0,0,0,0,1,2,3,0,0,0,1,1,0,0,0,0,0,1,0,0,2,0,0,3,4,0,0,0,0,0,4,0,0,1,2,0,0,0,0
54,0,8,1,5,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,17,0,1,0,0,0,10,0,0,0,5,0,7,1,4,0,10,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,5,11,2,0,2,0,2,10,3,1,2,38,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,11,0,0,0,0,0,0,0,1,1,2,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,0,0,1,1,0,0,0,0
55,0,4,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,5,0,0,0,3,0,3,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,6,1,0,1,0,1,5,1,1,1,19,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0
56,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,1,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,1,3,1,0,1,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0,25,2,16,4,0,0,0,0,2,0,0,0,1,3,0,2,0,0,0,1,1,52,0,2,0,0,0,31,0,0,0,16,0,21,3,13,0,29,2,0,1,1,0,0,1,1,2,1,1,0,4,1,0,0,0,0,0,3,16,35,5,1,7,0,7,31,8,4,6,116,0,7,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,3,35,0,0,0,1,0,0,1,2,3,7,0,0,0,2,3,0,0,1,0,0,2,0,0,3,1,0,7,9,0,1,0,0,0,9,0,0,2,4,0,0,0,1
59,0,51,5,33,7,0,0,0,0,4,0,0,0,2,7,0,5,0,1,0,2,2,107,1,4,0,0,0,63,0,0,1,33,0,44,5,26,0,60,4,0,2,1,0,0,2,2,4,1,1,0,9,1,1,0,0,0,3,0,33,71,10,2,14,0,15,62,16,7,12,236,0,15,8,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,3,5,71,1,1,0,2,0,0,2,4,7,15,1,0,0,4,6,0,0,1,0,0,5,0,0,7,1,0,14,19,1,2,1,0,0,19,0,0,5,9,1,0,0,2
60,1,329,32,216,47,1,1,1,1,23,1,0,1,13,46,1,30,1,6,0,14,14,691,4,26,1,1,0,410,1,2,4,216,1,283,34,168,2,387,29,1,11,9,2,0,11,12,28,9,8,1,55,8,5,3,1,0,16,33,0,460,64,14,89,0,96,402,101,48,78,1528,1,97,52,10,1,1,2,1,1,1,1,1,2,1,9,1,1,2,2,1,1,28,17,35,460,4,6,1,13,2,0,11,27,46,94,4,1,1,24,39,1,2,8,1,1,33,1,0,43,9,1,92,121,4,10,4,1,1,124,1,1,33,56,6,1,1,10
61,2,702,68,460,100,2,2,3,2,49,2,0,2,27,97,2,64,2,12,0,30,30,1475,8,56,2,2,0,876,2,4,8,460,2,604,72,358,4,826,61,2,23,19,4,0,23,26,60,20,18,3,118,16,11,6,3,0,35,71,460,0,137,29,189,0,206,857,216,102,167,3261,2,208,111,22,2,2,5,2,3,3,3,2,4,2,20,2,2,5,4,2,3,59,36,75,982,8,12,2,27,5,0,24,59,98,201,9,2,3,51,83,2,5,18,2,3,70,3,0,92,19,3,197,258,8,21,8,2,3,264,2,3,70,119,13,2,2,22
62,0,98,9,64,14,0,0,0,0,7,0,0,0,4,14,0,9,0,2,0,4,4,206,1,8,0,0,0,123,0,1,1,64,0,85,10,50,1,116,9,0,3,3,1,0,3,4,8,3,3,0,17,2,2,1,0,0,5,10,64,137,0,4,26,0,29,120,30,14,23,456,0,29,16,3,0,0,1,0,0,0,0,0,1,0,3,0,0,1,1,0,0,8,5,11,137,1,2,0,4,1,0,3,8,14,28,1,0,0,7,12,0,1,2,0,0,10,0,0,13,3,0,28,36,1,3,1,0,0,37,0,0,10,17,2,0,0,3
63,0,21,2,14,3,0,0,0,0,1,0,0,0,1,3,0,2,0,0,0,1,1,44,0,2,0,0,0,26,0,0,0,14,0,18,2,11,0,24,2,0,1,1,0,0,1,1,2,1,1,0,3,0,0,0,0,0,1,2,14,29,4,0,6,0,6,25,6,3,5,96,0,6,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,2,29,0,0,0,1,0,0,1,2,3,6,0,0,0,2,2,0,0,1,0,0,2,0,0,3,1,0,6,8,0,1,0,0,0,8,0,0,2,4,0,0,0,1
64,0,135,13,89,19,0,0,1,0,9,0,0,0,5,19,0,12,0,2,0,6,6,284,2,11,0,0,0,169,0,1,2,89,0,116,14,69,1,159,12,0,4,4,1,0,4,5,11,4,3,1,23,3,2,1,1,0,7,14,89,189,26,6,0,0,40,165,42,20,32,627,0,40,21,4,0,0,1,0,1,1,1,0,1,0,4,0,0,1,1,0,1,11,7,14,189,2,2,0,5,1,0,5,11,19,39,2,0,1,10,16,0,1,3,0,1,13,1,0,18,4,1,38,50,2,4,2,0,1,51,0,1,13,23,2,0,0,4
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,0,147,14,96,21,0,0,1,0,10,0,0,0,6,20,0,13,0,3,0,6,6,309,2,12,0,0,0,184,0,1,2,96,0,127,15,75,1,173,13,0,5,4,1,0,5,6,13,4,4,1,25,3,2,1,1,0,7,15,96,206,29,6,40,0,0,180,45,21,35,683,0,44,23,5,0,0,1,0,1,1,1,0,1,0,4,0,0,1,1,0,1,12,8,16,206,2,2,0,6,1,0,5,12,20,42,2,0,1,11,17,0,1,4,0,1,15,1,0,19,4,1,41,54,2,4,2,0,1,55,0,1,15,25,3,0,0,5
67,1,613,59,402,88,1,1,3,1,43,1,0,1,23,85,1,56,1,11,0,26,26,1288,7,49,2,1,0,765,1,4,7,402,1,528,62,313,4,721,53,1,20,16,3,0,20,23,52,17,16,3,103,14,10,5,3,0,31,62,402,857,120,25,165,0,180,0,189,89,146,2847,1,182,97,19,1,1,4,1,3,3,3,1,3,1,18,2,1,4,4,1,3,52,31,66,857,7,10,1,24,4,0,21,51,85,175,8,1,3,45,73,1,5,15,1,3,61,3,0,80,16,3,172,225,7,18,7,1,3,230,1,3,61,104,11,1,1,19
68,0,154,15,101,22,0,0,1,0,11,0,0,0,6,21,0,14,0,3,0,7,7,324,2,12,0,0,0,193,0,1,2,101,0,133,16,79,1,182,13,0,5,4,1,0,5,6,13,4,4,1,26,4,3,1,1,0,8,16,101,216,30,6,42,0,45,189,0,22,37,717,0,46,24,5,0,0,1,0,1,1,1,0,1,0,4,0,0,1,1,0,1,13,8,17,216,2,3,0,6,1,0,5,13,21,44,2,0,1,11,18,0,1,4,0,1,15,1,0,20,4,1,43,57,2,5,2,0,1,58,0,1,15,26,3,0,0,5
69,0,73,7,48,10,0,0,0,0,5,0,0,0,3,10,0,7,0,1,0,3,3,153,1,6,0,0,0,91,0,0,1,48,0,63,7,37,0,86,6,0,2,2,0,0,2,3,6,2,2,0,12,2,1,1,0,0,4,7,48,102,14,3,20,0,21,89,22,0,17,339,0,22,12,2,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,6,4,8,102,1,1,0,3,1,0,2,6,10,21,1,0,0,5,9,0,1,2,0,0,7,0,0,10,2,0,20,27,1,2,1,0,0,27,0,0,7,12,1,0,0,2
70,0,120,12,78,17,0,0,1,0,8,0,0,0,5,17,0,11,0,2,0,5,5,251,1,9,0,0,0,149,0,1,1,78,0,103,12,0,1,141,10,0,4,3,1,0,4,4,10,3,3,1,20,3,2,1,1,0,6,12,78,167,23,5,32,0,35,146,37,17,0,556,0,35,19,4,0,0,1,0,1,1,1,0,1,0,3,0,0,1,1,0,1,10,6,13,167,1,2,0,5,1,0,4,10,17,34,2,0,1,9,14,0,1,3,0,1,12,1,0,16,3,1,34,44,1,4,1,0,1,45,0,1,12,20,2,0,0,4
71,6,2333,225,1528,333,6,6,11,6,163,6,0,6,89,323,6,213,6,41,0,99,100,4900,26,185,8,6,0,2909,6,15,27,1528,6,2007,237,1189,15,2744,203,6,76,62,12,0,75,87,198,66,60,11,393,54,38,19,11,0,116,236,1528,3261,456,96,627,0,683,2847,717,339,556,0,6,691,368,72,6,6,16,6,11,11,11,6,13,6,67,8,6,17,15,6,11,198,119,250,3261,27,40,6,91,17,0,79,195,324,666,31,6,11,171,277,6,18,58,6,11,231,11,1,305,63,11,654,855,27,70,27,6,11,877,6,11,232,396,43,6,5,72
72,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,0,149,14,97,21,0,0,1,0,10,0,0,0,6,21,0,14,0,3,0,6,6,313,2,12,0,0,0,186,0,1,2,97,0,128,15,76,1,175,13,0,5,4,1,0,5,6,13,4,4,1,25,3,2,1,1,0,7,15,97,208,29,6,40,0,44,182,46,22,35,691,0,0,24,5,0,0,1,0,1,1,1,0,1,0,4,0,0,1,1,0,1,13,8,16,208,2,3,0,6,1,0,5,12,21,42,2,0,1,11,18,0,1,4,0,1,15,1,0,19,4,1,42,55,2,4,2,0,1,56,0,1,15,25,3,0,0,5
74,0,79,8,52,11,0,0,0,0,6,0,0,0,3,11,0,7,0,1,0,3,3,167,1,6,0,0,0,99,0,0,1,52,0,68,8,40,0,93,7,0,3,2,0,0,3,3,7,2,2,0,13,2,1,1,0,0,4,8,52,111,16,3,21,0,23,97,24,12,19,368,0,24,0,2,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,7,4,8,111,1,1,0,3,1,0,3,7,11,23,1,0,0,6,9,0,1,2,0,0,8,0,0,10,2,0,22,29,1,2,1,0,0,30,0,0,8,13,1,0,0,2
75,0,15,1,10,2,0,0,0,0,1,0,0,0,1,2,0,1,0,0,0,1,1,32,0,1,0,0,0,19,0,0,0,10,0,13,2,8,0,18,1,0,1,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,1,2,10,22,3,1,4,0,5,19,5,2,4,72,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,22,0,0,0,1,0,0,1,1,2,4,0,0,0,1,2,0,0,0,0,0,2,0,0,2,0,0,4,6,0,0,0,0,0,6,0,0,2,3,0,0,0,0
76,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,2,0,3,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,5,1,0,1,0,1,4,1,1,1,16,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
79,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,1,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,1,3,1,0,1,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
81,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,1,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,1,3,1,0,1,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
82,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,1,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,1,3,1,0,1,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
83,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,2,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,0,1,0,1,3,1,0,1,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
85,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,0,14,1,9,2,0,0,0,0,1,0,0,0,1,2,0,1,0,0,0,1,1,30,0,1,0,0,0,18,0,0,0,9,0,12,1,7,0,17,1,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,1,1,9,20,3,1,4,0,4,18,4,2,3,67,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,20,0,0,0,1,0,0,0,1,2,4,0,0,0,1,2,0,0,0,0,0,1,0,0,2,0,0,4,5,0,0,0,0,0,5,0,0,1,2,0,0,0,0
87,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
88,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,0,4,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,5,0,0,0,2,0,3,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,5,1,0,1,0,1,4,1,1,1,17,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
90,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,2,0,3,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,4,1,0,1,0,1,4,1,0,1,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
